-- Logs begin at Thu 2022-09-29 11:40:16 UTC, end at Thu 2022-09-29 13:00:32 UTC. --
Sep 29 12:38:21 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 29 12:38:22 ubuntu dstat.sh[91998]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 29 12:38:22 ubuntu dstat.sh[91998]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 29 12:38:22 ubuntu dstat.sh[91998]: 29-09 12:38:22|                   | 782M  900M  135M 5798M|           |           |           |           |1.57 1.21 0.79|1.0   0    |           |   0     0 | 11    2    5    7    0
Sep 29 12:38:23 ubuntu dstat.sh[91998]: 29-09 12:38:23|  9  20  70   0   0| 782M  900M  135M 5798M|4003  1788 |   0   124k|   0  4.14 |2447  3530 |1.55 1.21 0.80|1.0   0 303|   0     0 |   0     0 | 11    2    5    7    0
Sep 29 12:38:24 ubuntu dstat.sh[91998]: 29-09 12:38:24| 13  17  69   0   0| 783M  899M  135M 5799M|5561  1944 |   0    24k|   0  5.07 |2340  3400 |1.52 1.21 0.80|1.0   0 268|   0     0 |   0     0 | 11    2    5    7    0
Sep 29 12:38:25 ubuntu dstat.sh[91998]: 29-09 12:38:25| 17  18  65   0   0| 783M  899M  135M 5799M|4743  2018 |   0  3232k|   0   102 |2822  3923 |1.52 1.21 0.80|1.0   0 149|   0     0 |   0     0 | 11    2    5    7    0
Sep 29 12:38:26 ubuntu dstat.sh[91998]: 29-09 12:38:26| 21  19  59   0   0| 763M  918M  135M 5799M|  34k 1802 |   0  4097B|   0  1.00 |3272  6034 |1.52 1.21 0.80|1.0   0 104|   0     0 |   0     0 | 11    2    5    7    0
Sep 29 12:38:27 ubuntu dstat.sh[91998]: 29-09 12:38:27|  8  10  82   0   0| 899M  782M  135M 5921M|6258  2702 |   0     0 |   0     0 |2184  4875 |1.52 1.21 0.80|2.0   0  51|   0     0 |   0     0 | 12    4    5    7    0
Sep 29 12:38:28 ubuntu dstat.sh[91998]: 29-09 12:38:28| 19   8  73   0   0| 902M  778M  135M 5921M|3216  1803 |8197B  112k|2.00  6.00 |1423  1950 |1.48 1.21 0.80|1.0   0  75|   0     0 |   0     0 | 12    4    5    7    0
Sep 29 12:38:29 ubuntu dstat.sh[91998]: 29-09 12:38:29| 19   7  73   0   0| 898M  782M  135M 5921M|4649  1943 |   0    20k|   0  5.00 |1489  2015 |1.48 1.21 0.80|2.0   0  94|   0     0 |   0     0 | 12    4    5    6    0
Sep 29 12:38:30 ubuntu dstat.sh[91998]: 29-09 12:38:30| 14   9  72   5   0| 901M  779M  136M 5921M|  16k   13k| 568k  420k|34.0  17.0 |1833  2702 |1.48 1.21 0.80|1.0   0  97|   0     0 |   0     0 | 12    4    5    8    0
Sep 29 12:38:31 ubuntu dstat.sh[91998]: 29-09 12:38:31| 20   3  73   3   0| 920M  760M  136M 5921M|2813  1728 | 200k  668k|12.0  19.0 |1065  1536 |1.48 1.21 0.80|1.0   0   0|   0     0 |   0     0 | 12    4    5    8    0
Sep 29 12:38:32 ubuntu dstat.sh[91998]: 29-09 12:38:32| 20   4  73   2   0| 954M  724M  136M 5922M|4757  1802 | 440k    0 |25.0     0 | 968  1515 |1.48 1.21 0.80|1.0   0 2.0|   0     0 |   0     0 | 12    4    5    8    0
Sep 29 12:38:33 ubuntu dstat.sh[91998]: 29-09 12:38:33| 24   2  74   0   0| 969M  710M  136M 5922M|3931  2222 |4096B 1604k|1.00  22.0 |1051  1419 |1.44 1.20 0.80|1.0   0   0|   0     0 |   0     0 | 12    4    5    8    0
Sep 29 12:38:34 ubuntu dstat.sh[91998]: 29-09 12:38:34| 15   6  68   9   0| 995M  679M  137M 5926M|  22k   19k|  12k   12M|1.00  1363 |8238    15k|1.44 1.20 0.80|1.0   0  16|   0     0 |   0     0 | 12    6    6    8    0
Sep 29 12:38:35 ubuntu dstat.sh[91998]: 29-09 12:38:35| 17   7  63  11   0|1000M  669M  138M 5930M|  34k   14k|   0    22M|   0  1992 |  11k   19k|1.44 1.20 0.80|1.0 1.0  40|   0     0 |   0     0 | 12    6    6    8    0
