Feb 27 02:14:01 dnsmasq[7]: started, version 2.85 DNS disabled
Feb 27 02:14:01 dnsmasq[7]: compile time options: IPv6 GNU-getopt DBus no-UBus no-i18n IDN2 DHCP DHCPv6 no-Lua TFTP no-conntrack ipset auth cryptohash DNSSEC loop-detect inotify dumpfile
Feb 27 02:14:01 dnsmasq[7]: LOUD WARNING: listening on 169.16.1.187 may accept requests via interfaces other than eth0
Feb 27 02:14:01 dnsmasq[7]: LOUD WARNING: use --bind-dynamic rather than --bind-interfaces to avoid DNS amplification attacks via these interface(s)
Feb 27 02:14:01 dnsmasq-dhcp[7]: DHCP, IP range 169.16.1.230 -- 169.16.1.250, lease time 10m
Feb 27 02:14:01 dnsmasq-dhcp[7]: DHCP, sockets bound exclusively to interface eth0
Feb 27 02:14:16 dnsmasq[7]: inotify, new or changed file /etc/dnsmasq/dhcp-hostsdir/unknown_hosts_filter
Feb 27 02:14:16 dnsmasq-dhcp[7]: read /etc/dnsmasq/dhcp-hostsdir/unknown_hosts_filter
Feb 27 02:14:21 dnsmasq-dhcp[7]: DHCPDISCOVER(eth0) fa:16:3e:e0:84:ec ignored
Feb 27 02:14:33 dnsmasq-dhcp[7]: DHCPDISCOVER(eth0) fa:16:3e:e0:84:ec ignored
Feb 27 02:16:09 dnsmasq-dhcp[7]: DHCPDISCOVER(eth0) fa:16:3e:78:e5:2f ignored
Feb 27 02:16:21 dnsmasq-dhcp[7]: DHCPDISCOVER(eth0) fa:16:3e:78:e5:2f ignored
Feb 27 02:16:55 dnsmasq-dhcp[7]: DHCPDISCOVER(eth0) 94:57:a5:55:9f:35 ignored
Feb 27 02:17:03 dnsmasq-dhcp[7]: DHCPDISCOVER(eth0) 94:57:a5:55:9f:35 ignored
Feb 27 02:17:06 dnsmasq-dhcp[7]: DHCPDISCOVER(eth0) ec:b1:d7:83:f4:80 ignored
Feb 27 02:17:11 dnsmasq-dhcp[7]: DHCPDISCOVER(eth0) ec:b1:d7:83:f4:80 ignored
Feb 27 02:17:16 dnsmasq-dhcp[7]: DHCPDISCOVER(eth0) fa:16:3e:d2:b0:e3 ignored
Feb 27 02:17:20 dnsmasq-dhcp[7]: DHCPDISCOVER(eth0) ec:b1:d7:83:f4:80 ignored
Feb 27 02:17:22 dnsmasq-dhcp[7]: DHCPDISCOVER(eth0) 94:57:a5:55:9f:35 ignored
Feb 27 02:17:26 dnsmasq-dhcp[7]: DHCPDISCOVER(eth0) 94:57:a5:55:9f:35 ignored
Feb 27 02:17:27 dnsmasq-dhcp[7]: DHCPDISCOVER(eth0) fa:16:3e:d2:b0:e3 ignored
Feb 27 02:17:34 dnsmasq-dhcp[7]: DHCPDISCOVER(eth0) 94:57:a5:55:9f:35 ignored
Feb 27 02:17:35 dnsmasq-dhcp[7]: DHCPDISCOVER(eth0) ec:b1:d7:83:f4:80 ignored
Feb 27 02:17:47 dnsmasq-dhcp[7]: DHCPDISCOVER(eth0) 94:57:a5:55:9f:35 ignored
